case,query,gt_rank,hit@10,top1_clip,top1_sim
BEST,This music is a clip of the end of the song. There is no music nor v,1,True,0VjPCd62oKg,0.7828
BEST,A male singer sings this pensive melody. The tempo is slow with a Sa,1,True,QfM5-WqvquQ,0.7371
BEST,This music is instrumental. The tempo is fast with the musician  pla,1,True,PlQibWaPAcM,0.6793
BEST,Someone is skillfully scratching turntables along to a backing track,1,True,R6mhBqTU0Tc,0.7762
BEST,This is an Armenian pop music ballad piece. The male vocalist is sin,1,True,PF5LgwJjYuA,0.7308
WORST,The low quality recording features a traditional song sung by harmon,681,False,rrWQd5SZK74,0.7015
WORST,A male vocalist sings this animated song. The tempo is fast with a f,636,False,4HfU5OQUqq0,0.6703
WORST,The low quality recording features a traditional song that consists ,602,False,coG_EznBmzE,0.6552
WORST,This music is an electric guitar solo. The tempo is medium fast with,573,False,ktTrTDQidsE,0.6249
WORST,Classic sped up video game music with vacuum sounds juxtaposed by 80,567,False,lbB2VQYIMo0,0.5886
