Model,Dataset,Macro-F1,AUC-PR,MAE (emotion),R@5 (retrieval)
B1: Random tags,MusicCaps,0.09448414293028719,0.06118964618973115,,
B1: Prior/majority tags,MusicCaps,0.0,0.051920199501246884,,
B1: Random genre,FMA-small,0.13496228868584667,0.1367855341096204,,
B4: PCA + MLP (hand-crafted),FMA-small,0.33808122251478673,0.32462948413522863,,
B2: CNN mel-spectrogram,FMA-small,0.538558794621966,0.551612282026728,,
Task 1: BERT-only (B3),MusicCaps,0.6374993363632985,0.6932112006166371,,
Task 2: GNN-only (graphs),FMA-small,0.45350453637411936,0.48945563190860386,,
Task 3: GNN-BERT fusion,FMA-small,0.29287986552423123,0.3304237833072694,,
DEAM: graph emotion regressor,DEAM,,,0.7245166897773743,
Task 3: GNN-BERT fusion,MusicCaps,0.6318491648811895,0.6649457135764881,,
Task 4: Contrastive dual-encoder,MusicCaps,0.09611338798714797,0.0691394818403358,,0.13341645885286782
