model,dataset,macro_f1,sd,n_runs,reported
REF: frozen CLAP + linear probe,FMA-small,0.539546320794138,,1,0.5395 (n=1)
B2 CNN,FMA-small,0.5244928407723852,0.011006295238870674,3,0.5245 +/- 0.0110
"Task 2 GNN, ALL EDGES DELETED",FMA-small,0.45877026441958085,,1,0.4588 (n=1)
Task 2 GNN,FMA-small,0.4324412073302803,0.011209937030413232,3,0.4324 +/- 0.0112
B4: PCA + MLP,FMA-small,0.33808122251478673,,1,0.3381 (n=1)
REF: frozen CLAP zero-shot,FMA-small,0.28499076717290395,,1,0.2850 (n=1)
Task 3 concat,FMA-small,0.2793459259159538,0.018899059806206573,3,0.2793 +/- 0.0189
Task 3 GNN-only,FMA-small,0.2722649579714676,0.007969614254683762,3,0.2723 +/- 0.0080
Task 3 xattn,FMA-small,0.2714165377944759,0.00788675167969113,3,0.2714 +/- 0.0079
Task 3 BERT-only,FMA-small,0.26051834975316296,0.011253767523152483,3,0.2605 +/- 0.0113
B1: Random genre,FMA-small,0.13496228868584667,,1,0.1350 (n=1)
Task 1: BERT fine-tuned,MusicCaps,0.6374993363632985,,1,0.6375 (n=1)
B6: TF-IDF + logreg,MusicCaps,0.6261780402516259,,1,0.6262 (n=1)
B5: lexical match (0 params),MusicCaps,0.5174722988258669,,1,0.5175 (n=1)
Task 4: contrastive zero-shot,MusicCaps,0.10413283072510371,,1,0.1041 (n=1)
