query_idx,query_caption,gt_clip,gt_rank,hit@1,hit@5,hit@10,top1_clip,top1_score,top1_aspects,top2_clip,top2_score,top3_clip,top3_score,aspect_overlap_top1
0,"The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar mel",-8cgbhIR_pw,86,False,False,False,3tlaELkmRqs,0.7246,"amateur recording, low quality recording, male voice, children's voice, acoustic guitar, no percussion",8DHtPopFvII,0.6977,RD-oizm_35M,0.688,0.0
1,"The Alternative/Indie song features an intimate, widely spread, mixed vocals singing over noisy snare, punchy kick, wide tinny hi hats, electric guita",-BHPu-dPmWQ,158,False,False,False,l9vYSBR9nio,0.6666,"male vocalist, medium tempo, energetic drumming, groovy bass line, synth arrangement, keyboard harmony",afavVsmFWds,0.6548,e1KHGfMekek,0.648,0.0
2,"This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music ",-ByoSbgzr4M,628,False,False,False,zx_vcwOsDO4,0.7292,"instrumental, no voice, electric guitar, distortion effect, virtuosity, rock genre",390At7lW4iw,0.634,_KGUrOb1qgU,0.5742,0.125
3,This is a heavily edited version of a birthday song. The track has been transposed to make the original vocal sound like a little girl which resulted ,-IZbvEO9wzU,62,False,False,False,iHYOaGNdweo,0.4477,"low quality, electro, thin, noisy, mono, phone recording",kbAMGp-TKJo,0.4054,IN71kMOAk_k,0.4018,0.0
4,The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instr,-OAyRsvFGgc,213,False,False,False,lbB2VQYIMo0,0.6923,"compilation, dance, electronic music, folk music, electric guitar, dancing sounds",I368EWBLIs4,0.6698,xzgnLpKkvdg,0.6436,0.0
5,This is a classical music piece belonging to the baroque period. The piece is being performed with a harp. There is a catchy tune being played with a ,-OUIEnuNd1I,90,False,False,False,w2vMywh5Nto,0.6298,"mandolin, instrumental, no voice, joyful, folk song",kGo-dAQXtsA,0.6236,JCsuOzlwJqA,0.544,0.083
6,Digital drums are playing a four on the floor rhythm with a kick on every beat along with a bassline and a keyboard sound playing short rhythmic chord,-bgHkxwoliw,15,False,False,False,TzPuAqjoL80,0.6937,"electro/techo, digital drums, male voice singing, higher register, digital strings, synth arpeggios",1pR0SgbqP3M,0.6703,EL2DtgPD4J4,0.6447,0.444
7,"This audio clip is of a male vocalist beat boxing. The tempo is fast with the vocalist mimicking vigorous drumming, drum machine rhythms, turn table a",-i9uQMysy_A,14,False,False,False,V1M3HiUz0ZQ,0.7177,"medium tempo, keyboard harmony, unimpressive, music filler, amateur audio recording, retro pop instrumental",N5BAnG2zoUY,0.6639,6QfM3BRp-78,0.6618,0.0
8,An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling wh,-kpR93atgd8,2,False,True,True,y6NS77HLjEE,0.6944,"christmas song, saxophone playing medley, santa claus, elves, bells percussions, warmth",-kpR93atgd8,0.6937,liuCTk2nPG8,0.6799,0.0
9,The kick is playing on every beat along with a fast paced high hat and a snare sound. The digital bass is adding some spice and sounds overdriven. Pad,-qcTD2o6I9s,11,False,False,False,In44gO8Ej90,0.7352,"dj, house, electronic music, male voice, shouting, repeated line",8vFJX7NcSbI,0.7254,M2iOUwFHv9Q,0.7186,0.0
